record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
A58559-v35,A58559,Article,local,high,106,05/01/2026,01/01/2026,Palmetto GBA (MAC - Part B),coding; effective date,Billing and Coding: Independent Diagnostic Testing Facilities (IDTF),"High-signal revision from CMS notes: Under Article Text – Table: CPT/HCPCS Codes and CPT/HCPCS Codes Group 1: Codes added 70471. For 70471, under Article Text – Table: Supervising Physician Qualifications added Board Certified* Radiologist or Neurologist...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=58559&ver=35
A54767-v71,A54767,Article,local,high,106,05/01/2026,04/20/2026,"Palmetto GBA (MAC - Part A, MAC - Part B)",coding; effective date,Billing and Coding: Medicare Preventive Coverage for Certain Vaccines,"High-signal revision from CMS notes: Under CMS National Coverage Policy added the following regulation: CMS Internet-Only Manual, Pub. 100-02, Medicare Benefit Policy Manual , Chapter 15, §50.4.4.2 Immunizations. Under Article Text formatting changes wer...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=54767&ver=71
A54799-v67,A54799,Article,local,high,106,05/01/2026,06/01/2026,"Palmetto GBA (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Urine Drug Testing,"High-signal revision from CMS notes: Under ICD-10-CM Codes that Support Medical Necessity Group 1: Codes added F11.120, F12.10, F12.20, F12.21, F13.10, F13.20, F13.21, F14.10, F14.120, F14.20, F14.21, F15.10, F15.20, F15.21, F19.10 and F19.21.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=54799&ver=67
A57944-v25,A57944,Article,local,high,106,05/01/2026,05/07/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Hypoglossal Nerve Stimulation for Treatment of Obstructive Sleep Apnea,"High-signal revision from CMS notes: Posted 05/07/2026 Under Coding Guidelines added reduced services modifier 52 information under Implantation codes. Under CPT/HCPCS Modifiers added 64582, 64583, and 64584 to Group 1 Paragraph . This is effective 01/01...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57944&ver=25
A55001-v69,A55001,Article,local,high,106,04/30/2026,06/01/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",coding; effective date,Billing and Coding: Urine Drug Testing,"High-signal revision from CMS notes: Revision Effective Date: 06/01/2026 Under ICD-10-CM Codes That Support Medical Necessity: Added: F11.120, F12.10, F12.20, F12.21, F13.10, F13.20, F13.21, F14.10, F14.120, F14.20, F14.21, F15.10, F15.20, F15.21, F19.10...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=55001&ver=69
A56915-v37,A56915,Article,local,high,106,04/29/2026,06/01/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Urine Drug Testing,"High-signal revision from CMS notes: Posted 05/07/2026 Under ICD-10 Codes that Support Medical Necessity Group 1 Codes added F11.120, F12.10, F12.20, F12.21, F13.10, F13.20, F13,21, F14.10, F14.20, F14.21, F14.120, F15.10, F15.20, F15.21, F19.10, F19.21.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=56915&ver=37
A59350-v27,A59350,Article,local,high,106,04/28/2026,04/01/2026,"Palmetto GBA (MAC - Part A, MAC - Part B)",effective date,Billing and Coding: Radiation Therapies,High-signal revision from CMS notes: The effective date for revision 9 should be retroactive effective for dates of service on or after 1/1/26 not 4/1/26.,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=59350&ver=27
A53066-v97,A53066,Article,local,high,106,04/27/2026,06/01/2026,"Palmetto GBA (MAC - Part A, MAC - Part B)",coding,Self-Administered Drug Exclusion List:,"High-signal revision from CMS notes: Under Excluded CPT/HCPCS Codes – Table Format added C9399, J3490, J3590 for Nemluvio (nemolizumab-ilto) and deleted the asterisk for Skyrizi™ (risankizumab-rzaa) using CPT codes C9399, J3490, J3590.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53066&ver=97
A59809-v10,A59809,Article,local,high,82,04/29/2026,04/09/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Botulinum Toxin Injections,"High-signal revision from CMS notes: Posted 05/07/2026. Update to revision history posted 04/0/09/2026. Under the ICD-10-CM Codes that Support Medical Necessity section, the group for Paralytic ptosis was removed. Revision effective 04/09/2026.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=59809&ver=10
240.9-v1,240.9,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Noninvasive Positive Pressure Ventilation (NIPPV) in the Home for the Treatment of Chronic Respiratory Failure (CRF) Consequent to Chronic Obstructive Pulmonary Disease (COPD),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=380&ncdver=1
